listingId,version,area,address,propertyType,priceJpy,layout,areaSqm,landSqm,stationWalkMin,builtYearMonth,listedDate,listedYear,priorityRank,title,description,mainPhoto,subPhotos,layoutPhoto,docs
LST-2026-000206,,tokyo-shibuya,"東京都渋谷区渋谷2-21-1 渋谷スカイロフト",mansion,168000000,2LDK,70.0,,5,2021-02,2026-04-07,2026,S,"渋谷スカイロフト 12F","リフォーム済、コンシェルジュ、最新セキュリティ",main_0206.jpg,"living_0206.jpg|view_0206.jpg",layout_0206.png,"bukken_0206.pdf:summary|jyuyo_0206.pdf:important"
LST-2026-000207,,tokyo-shibuya,"東京都渋谷区代官山町20-3",house,142000000,4LDK,118.0,132.0,9,2018-12,2026-04-08,2026,A,"代官山プライベート戸建","デザイナーズ、屋上テラス、駐車場1台",main_0207.jpg,"terrace_0207.jpg|living_0207.jpg",layout_0207.png,"bukken_0207.pdf:summary|sateisho_0207.pdf:valuation"
LST-2026-000208,,tokyo-shibuya,"東京都渋谷区神宮前4-12-10",office,89000000,,95.0,,7,2015-08,2026-04-09,2026,B,"神宮前クリエイティブオフィス","リノベーション済、個性的な内装、SOHO可",main_0208.jpg,"interior_0208.jpg|meeting_0208.jpg",layout_0208.png,"bukken_0208.pdf:summary"
LST-2026-000209,,tokyo-shibuya,"東京都渋谷区恵比寿1-7-2",retail,198000000,,80.0,,4,2016-05,2026-04-10,2026,S,"恵比寿駅前 1F路面店","集客力抜群、重飲食可、視認性高",main_0209.jpg,"frontage_0209.jpg|interior_0209.jpg",layout_0209.png,"bukken_0209.pdf:summary|jyuyo_0209.pdf:important"
LST-2026-000210,,tokyo-shibuya,"東京都渋谷区神宮前5-3-9 表参道並木通り",retail,65000000,,45.0,,11,2013-10,2026-04-11,2026,A,"表参道並木通り サブテナント","路地裏隠れ家立地、物販向き",main_0210.jpg,"interior_0210.jpg",layout_0210.png,"bukken_0210.pdf:summary"
LST-2026-000211,,tokyo-shibuya,"東京都渋谷区笹塚2-44-1",land,58000000,,,88.0,19,,2026-04-12,2026,C,"笹塚 第一種住居地域 角地","角地、建築条件無し、整形地",main_0211.jpg,"surroundings_0211.jpg",,"bukken_0211.pdf:summary"
LST-2026-000212,,tokyo-chiyoda,"東京都千代田区一番町12-3 番町ザ・レジデンス",mansion,285000000,3LDK,88.0,,5,2023-01,2026-04-13,2026,S,"番町ザ・レジデンス 高層","学区人気、内廊下設計、コンシェルジュ",main_0212.jpg,"living_0212.jpg|view_0212.jpg",layout_0212.png,"bukken_0212.pdf:summary|jyuyo_0212.pdf:important"
LST-2026-000213,,tokyo-chiyoda,"東京都千代田区平河町2-7-9",house,145000000,5LDK,145.0,168.0,15,2010-04,2026-04-14,2026,C,"平河町 一戸建","リフォーム要、駐車場2台、二世帯対応",main_0213.jpg,"living_0213.jpg|garden_0213.jpg",layout_0213.png,"bukken_0213.pdf:summary|sateisho_0213.pdf:valuation"
LST-2026-000214,,tokyo-chiyoda,"東京都千代田区丸の内2-4-1 丸の内プライムオフィス",office,480000000,,220.0,,3,2021-09,2026-04-15,2026,S,"丸の内プライムオフィス","OAフロア、24時間入退室、皇居眺望",main_0214.jpg,"floor_0214.jpg|entrance_0214.jpg",layout_0214.png,"bukken_0214.pdf:summary|jyuyo_0214.pdf:important"
LST-2026-000215,,tokyo-chiyoda,"東京都千代田区大手町1-9-2 大手町ビジネスタワー",office,178000000,,130.0,,6,2019-03,2026-04-16,2026,A,"大手町ビジネスタワー 中層階","眺望良好、会議室付、駅直結",main_0215.jpg,"meeting_0215.jpg|view_0215.jpg",layout_0215.png,"bukken_0215.pdf:summary|jyuyo_0215.pdf:important"
LST-2026-000216,,tokyo-chiyoda,"東京都千代田区神田須田町1-19-1",retail,88000000,,60.0,,9,2014-11,2026-04-17,2026,B,"神田駅前 1F店舗","居酒屋・物販可、視認性抜群",main_0216.jpg,"interior_0216.jpg|signage_0216.jpg",layout_0216.png,"bukken_0216.pdf:summary"
LST-2026-000217,,tokyo-chiyoda,"東京都千代田区九段南3-7-12",land,320000000,,,155.0,12,,2026-04-18,2026,A,"九段下 商業地域 整形地","マンション・商業ビル可、角地",main_0217.jpg,"surroundings_0217.jpg",,"bukken_0217.pdf:summary|sateisho_0217.pdf:valuation"
LST-2026-000218,,tokyo-meguro,"東京都目黒区上目黒1-6-15 中目黒リバービュータワー",mansion,138000000,3LDK,78.0,,5,2022-07,2026-04-19,2026,S,"中目黒リバービュータワー 角部屋","桜並木眺望、最新セキュリティ",main_0218.jpg,"living_0218.jpg|view_0218.jpg",layout_0218.png,"bukken_0218.pdf:summary|jyuyo_0218.pdf:important"
LST-2026-000219,,tokyo-meguro,"東京都目黒区自由が丘2-15-3",house,118000000,4LDK,108.0,125.0,8,2017-08,2026-04-20,2026,A,"自由が丘デザイナーズ戸建","中庭付、ガレージ2台、南向き",main_0219.jpg,"garden_0219.jpg|living_0219.jpg",layout_0219.png,"bukken_0219.pdf:summary|sateisho_0219.pdf:valuation"
LST-2026-000220,,tokyo-meguro,"東京都目黒区中根1-9-22",house,75000000,3LDK,92.0,108.0,14,2009-05,2026-04-21,2026,B,"都立大学 戸建","全室南向き、リフォーム済、駐車場1台",main_0220.jpg,"living_0220.jpg|garden_0220.jpg",layout_0220.png,"bukken_0220.pdf:summary"
LST-2026-000221,,tokyo-meguro,"東京都目黒区目黒2-11-3",office,52000000,,70.0,,17,2008-02,2026-04-22,2026,C,"目黒バックオフィス","倉庫・事務所利用、駐車スペース有",main_0221.jpg,"interior_0221.jpg",layout_0221.png,"bukken_0221.pdf:summary"
LST-2026-000222,,tokyo-meguro,"東京都目黒区鷹番3-5-9",retail,68000000,,50.0,,10,2015-06,2026-04-23,2026,B,"学大商店街 路面店","飲食物販可、地元密着、視認性良",main_0222.jpg,"frontage_0222.jpg|interior_0222.jpg",layout_0222.png,"bukken_0222.pdf:summary"
LST-2026-000223,,tokyo-meguro,"東京都目黒区駒場3-8-1",land,198000000,,,118.0,7,,2026-04-24,2026,A,"駒場東大前 整形地","第一種低層住居、閑静な住宅地",main_0223.jpg,"surroundings_0223.jpg",,"bukken_0223.pdf:summary|sateisho_0223.pdf:valuation"
LST-2026-000224,,tokyo-shinjuku,"東京都新宿区西新宿2-8-1 新宿セントラルパーク前",mansion,218000000,3LDK,82.0,,4,2022-11,2026-04-25,2026,S,"新宿セントラルパーク前 最上階","都庁眺望、角部屋、コンシェルジュ24時間",main_0224.jpg,"living_0224.jpg|view_0224.jpg",layout_0224.png,"bukken_0224.pdf:summary|jyuyo_0224.pdf:important"
LST-2026-000225,,tokyo-shinjuku,"東京都新宿区下落合4-12-7",house,58000000,4LDK,95.0,108.0,19,2005-03,2026-04-26,2026,C,"落合 一戸建","リフォーム済、駐車スペース、南向き",main_0225.jpg,"garden_0225.jpg|living_0225.jpg",layout_0225.png,"bukken_0225.pdf:summary|sateisho_0225.pdf:valuation"
LST-2026-000226,,tokyo-shinjuku,"東京都新宿区西新宿7-15-3",office,162000000,,140.0,,6,2018-10,2026-04-27,2026,A,"西新宿スカイオフィス","区役所通沿、視認性高、会議室付",main_0226.jpg,"floor_0226.jpg|meeting_0226.jpg",layout_0226.png,"bukken_0226.pdf:summary|jyuyo_0226.pdf:important"
LST-2026-000227,,tokyo-shinjuku,"東京都新宿区神楽坂5-3-2",retail,92000000,,65.0,,5,2014-04,2026-04-28,2026,B,"神楽坂横丁 1F店舗","隠れ家飲食店向き、雰囲気抜群",main_0227.jpg,"interior_0227.jpg|frontage_0227.jpg",layout_0227.png,"bukken_0227.pdf:summary"
LST-2026-000228,,tokyo-shinjuku,"東京都新宿区早稲田南町1-22",land,48000000,,,78.0,16,,2026-04-29,2026,C,"早稲田 第一種住居","角地、戸建建築可、整形地",main_0228.jpg,"surroundings_0228.jpg",,"bukken_0228.pdf:summary"
LST-2026-000229,,tokyo-shinjuku,"東京都新宿区四谷3-7-15",land,168000000,,,132.0,16,,2026-04-30,2026,B,"四谷三丁目 整形地","中層マンション可、商業地域近接",main_0229.jpg,"surroundings_0229.jpg",,"bukken_0229.pdf:summary|sateisho_0229.pdf:valuation"
